 id  | stake_amount | p1_user_id | p2_user_id | p3_user_id | winner_user_id | merchant_user_id |  status  | system_fee |          created_at           |          finished_at          | last_roll | current_turn | num_players | refundable | forfeit_ids 
-----+--------------+------------+------------+------------+----------------+------------------+----------+------------+-------------------------------+-------------------------------+-----------+--------------+-------------+------------+-------------
  59 |            0 |          1 |          2 |          3 |                |                  | FINISHED |       0.00 | 2025-10-30 20:11:40.636762+00 |                               |         1 |            0 |           3 | t          | 
  50 |            0 |          1 |          2 |          3 |                |                  | FINISHED |       0.00 | 2025-10-28 18:44:22.980754+00 | 2025-10-28 18:45:06.338372+00 |         4 |            2 |           3 | t          | 
 113 |            0 |          1 |          2 |          3 |                |                  | FINISHED |       0.00 | 2025-11-09 09:16:48.938328+00 |                               |         6 |            0 |           3 | t          | 
 111 |            0 |          3 |            |          1 |                |                  | FINISHED |       0.00 | 2025-11-09 06:02:58.210787+00 |                               |         5 |            1 |           2 | t          | 
  32 |            0 |          2 |          4 |            |                |                  | FINISHED |       0.00 | 2025-10-24 23:53:38.715841+00 | 2025-10-24 23:55:26.665824+00 |         3 |            1 |           2 | t          | 
   2 |            0 |          1 |          2 |            |                |                  | FINISHED |       0.00 | 2025-10-24 20:09:04.666796+00 |                               |         2 |            0 |           2 | t          | 
  51 |            0 |          1 |          2 |          3 |                |                  | FINISHED |       0.00 | 2025-10-28 19:03:41.006822+00 | 2025-10-28 19:05:22.244774+00 |           |            0 |           3 | t          | 
  52 |            0 |          1 |          2 |            |                |                  | FINISHED |       0.00 | 2025-10-28 20:15:06.551077+00 | 2025-10-28 20:15:14.471418+00 |           |            1 |           2 | t          | 
  33 |            0 |          2 |          1 |            |                |                  | FINISHED |       0.00 | 2025-10-27 18:47:17.265641+00 | 2025-10-27 18:48:00.514565+00 |         1 |            1 |           2 | t          | 
  85 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-10-31 22:27:25.729863+00 |                               |         2 |            1 |           3 | t          | 
   9 |            0 |          2 |          4 |          4 |                |                  | FINISHED |       0.00 | 2025-10-24 22:24:25.148614+00 |                               |           |            0 |           3 | t          | 
  65 |            0 |            |          3 |          1 |                |                  | FINISHED |       0.00 | 2025-10-30 21:39:46.249536+00 | 2025-10-30 21:43:23.317903+00 |         1 |            0 |           3 | t          | 
  72 |            0 |          2 |            |          1 |                |                  | FINISHED |       0.00 | 2025-10-31 19:48:56.898819+00 | 2025-10-31 19:50:19.828481+00 |         4 |            0 |           3 | t          | 
  53 |            0 |          3 |          1 |          2 |                |                  | FINISHED |       0.00 | 2025-10-28 20:40:27.707389+00 | 2025-10-28 20:41:00.031977+00 |         2 |            2 |           3 | t          | 
  81 |            0 |            |          3 |          1 |                |                  | FINISHED |       0.00 | 2025-10-31 20:42:53.450352+00 | 2025-10-31 20:45:11.820056+00 |         1 |            0 |           3 | t          | 
  54 |            0 |          3 |          1 |            |                |                  | FINISHED |       0.00 | 2025-10-29 12:29:02.011984+00 | 2025-10-29 12:29:31.059839+00 |         2 |            0 |           2 | t          | 
  42 |            0 |          1 |          2 |            |                |                  | FINISHED |       0.00 | 2025-10-28 17:37:58.468821+00 | 2025-10-28 17:39:00.042623+00 |         2 |            0 |           2 | t          | 
  43 |            0 |          1 |          2 |            |                |                  | FINISHED |       0.00 | 2025-10-28 17:58:30.726652+00 | 2025-10-28 17:58:43.515812+00 |           |            1 |           2 | t          | 
  87 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-10-31 23:11:18.164359+00 | 2025-10-31 23:13:29.335992+00 |         3 |            1 |           3 | t          | 
  60 |            0 |          1 |            |          2 |                |                  | FINISHED |       0.00 | 2025-10-30 20:21:58.871185+00 | 2025-10-30 20:25:27.558166+00 |         4 |            1 |           3 | t          | 
  44 |            0 |          1 |          2 |            |                |                  | FINISHED |       0.00 | 2025-10-28 18:21:38.385648+00 | 2025-10-28 18:23:08.67049+00  |         1 |            0 |           2 | t          | 
  93 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-11-07 20:07:45.775522+00 | 2025-11-07 20:11:42.942583+00 |         6 |            1 |           3 | t          | 
  55 |            0 |          2 |            |          3 |                |                  | FINISHED |       0.00 | 2025-10-29 12:42:54.794437+00 | 2025-10-29 12:44:44.447571+00 |         5 |            1 |           3 | t          | 
  73 |            0 |            |          2 |          3 |                |                  | FINISHED |       0.00 | 2025-10-31 20:00:57.802831+00 | 2025-10-31 20:04:49.234916+00 |         1 |            0 |           3 | t          | 
  66 |            0 |            |          1 |          2 |                |                  | FINISHED |       0.00 | 2025-10-30 21:45:36.624132+00 | 2025-10-30 21:48:00.325688+00 |         5 |            0 |           3 | t          | 
  45 |            0 |          2 |          1 |            |                |                  | FINISHED |       0.00 | 2025-10-28 18:31:33.499206+00 | 2025-10-28 18:32:29.205571+00 |         5 |            0 |           2 | t          | 
  90 |            0 |            |          1 |          3 |                |                  | FINISHED |       0.00 | 2025-11-07 19:14:55.634337+00 | 2025-11-07 19:20:02.002596+00 |         6 |            0 |           3 | t          | 
  61 |            0 |          3 |            |          2 |                |                  | FINISHED |       0.00 | 2025-10-30 20:31:33.803169+00 | 2025-10-30 20:33:58.53609+00  |         1 |            1 |           3 | t          | 
  46 |            0 |          2 |          1 |            |                |                  | FINISHED |       0.00 | 2025-10-28 18:32:37.903197+00 | 2025-10-28 18:32:57.982502+00 |         1 |            1 |           2 | t          | 
  56 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-10-29 12:55:06.371487+00 | 2025-10-29 12:58:14.18833+00  |         6 |            1 |           3 | t          | 
  82 |            0 |          3 |            |          1 |                |                  | FINISHED |       0.00 | 2025-10-31 21:10:37.552213+00 |                               |         3 |            0 |           3 | t          | 
  74 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-10-31 20:08:02.240543+00 |                               |         6 |            0 |           3 | t          | 
  48 |            0 |          1 |          2 |            |                |                  | FINISHED |       0.00 | 2025-10-28 18:40:57.268481+00 | 2025-10-28 18:41:50.902832+00 |         6 |            0 |           2 | t          | 
  67 |            0 |          3 |            |          1 |                |                  | FINISHED |       0.00 | 2025-10-30 22:10:56.296181+00 |                               |         4 |            1 |           3 | t          | 
  49 |            0 |          1 |          2 |            |                |                  | FINISHED |       0.00 | 2025-10-28 18:42:01.225656+00 | 2025-10-28 18:42:25.172552+00 |         5 |            1 |           2 | t          | 
  57 |            0 |          3 |          1 |            |                |                  | FINISHED |       0.00 | 2025-10-30 20:10:25.286455+00 | 2025-10-30 20:11:16.052302+00 |         1 |            0 |           2 | t          | 
  62 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-10-30 21:22:15.824301+00 |                               |         1 |            1 |           3 | t          | 
  98 |            0 |          2 |            |            |                |                  | FINISHED |       0.00 | 2025-11-07 21:03:51.217986+00 | 2025-11-07 21:05:01.444016+00 |         5 |            1 |           2 | t          | 
  95 |            0 |          3 |          1 |            |                |                  | FINISHED |       0.00 | 2025-11-07 20:11:51.621309+00 | 2025-11-07 20:12:19.227949+00 |           |            1 |           2 | t          | 
  83 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-10-31 21:27:35.663011+00 |                               |         4 |            0 |           3 | t          | 
  68 |            0 |          3 |            |          2 |                |                  | FINISHED |       0.00 | 2025-10-31 17:28:49.516693+00 | 2025-10-31 17:30:02.478536+00 |         3 |            0 |           3 | t          | 
  75 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-10-31 20:15:07.407429+00 |                               |         2 |            0 |           3 | t          | 
 104 |            0 |          1 |            |            |                |                  | FINISHED |       0.00 | 2025-11-07 22:13:36.845646+00 | 2025-11-07 22:15:00.047796+00 |         6 |            1 |           2 | t          | 
  69 |            0 |          2 |            |          1 |                |                  | FINISHED |       0.00 | 2025-10-31 19:13:49.561535+00 |                               |         4 |            0 |           3 | t          | 
  88 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-11-07 18:42:18.938586+00 |                               |         2 |            1 |           3 | t          | 
  76 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-10-31 20:22:03.325114+00 | 2025-10-31 20:22:47.061769+00 |         2 |            0 |           3 | t          | 
  64 |            0 |          2 |          3 |          1 |                |                  | FINISHED |       0.00 | 2025-10-30 21:35:59.123704+00 |                               |         1 |            1 |           3 | t          | 
  84 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-10-31 21:43:04.29847+00  | 2025-10-31 21:44:17.839103+00 |         1 |            1 |           3 | t          | 
  70 |            0 |          3 |            |          2 |                |                  | FINISHED |       0.00 | 2025-10-31 19:38:33.500981+00 | 2025-10-31 19:39:13.894985+00 |         3 |            0 |           3 | t          | 
  91 |            0 |            |          2 |          1 |                |                  | ACTIVE   |       0.00 | 2025-11-07 19:30:10.509158+00 |                               |         6 |            0 |           3 | t          | 
 101 |            0 |            |          2 |          3 |                |                  | ACTIVE   |       0.00 | 2025-11-07 21:32:55.335745+00 |                               |         4 |            0 |           2 | t          | 
  71 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-10-31 19:40:09.758973+00 |                               |           |            0 |           3 | t          | 
  77 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-10-31 20:32:42.705742+00 |                               |         3 |            0 |           3 | t          | 
  96 |            0 |            |          3 |          2 |                |                  | ACTIVE   |       0.00 | 2025-11-07 20:35:46.434154+00 |                               |         2 |            0 |           2 | t          | 
  99 |            0 |            |          2 |            |                |                  | FINISHED |       0.00 | 2025-11-07 21:05:17.341172+00 | 2025-11-07 21:05:51.830857+00 |         5 |            1 |           2 | t          | 
  86 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-10-31 22:54:33.501926+00 |                               |         6 |            1 |           3 | t          | 
 107 |            0 |          1 |          2 |          3 |                |                  | FINISHED |       0.00 | 2025-11-09 05:24:54.557997+00 |                               |         6 |            0 |           3 | t          | 
  89 |            0 |          1 |          2 |            |                |                  | FINISHED |       0.00 | 2025-11-07 19:00:00.03237+00  |                               |         6 |            2 |           3 | t          | 
 122 |            0 |            |          2 |          3 |                |                  | ACTIVE   |       0.00 | 2025-11-09 11:51:50.058344+00 |                               |         5 |            2 |           2 | t          | 
  92 |            0 |          3 |            |          1 |                |                  | FINISHED |       0.00 | 2025-11-07 19:46:33.058856+00 |                               |         5 |            1 |           3 | t          | 
 108 |            0 |          1 |          2 |          3 |                |                  | FINISHED |       0.00 | 2025-11-09 05:49:02.644806+00 |                               |         1 |            1 |           3 | t          | 
  97 |            0 |            |          2 |            |                |                  | FINISHED |       0.00 | 2025-11-07 20:41:50.871639+00 | 2025-11-07 20:42:54.403793+00 |         5 |            1 |           2 | t          | 
 103 |            0 |            |          3 |          2 |                |                  | ACTIVE   |       0.00 | 2025-11-07 22:05:46.230939+00 |                               |         6 |            1 |           2 | t          | 
 106 |            0 |            |            |          1 |                |                  | FINISHED |       0.00 | 2025-11-09 05:13:17.403452+00 | 2025-11-09 05:15:26.254762+00 |         1 |            2 |           2 | t          | 
 100 |            0 |            |            |          1 |                |                  | FINISHED |       0.00 | 2025-11-07 21:19:27.869921+00 | 2025-11-07 21:21:48.176636+00 |         2 |            0 |           2 | t          | 
 102 |            0 |          1 |            |            |                |                  | FINISHED |       0.00 | 2025-11-07 21:44:43.501669+00 | 2025-11-07 21:46:18.760374+00 |         1 |            1 |           2 | t          | 
 116 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-11-09 10:07:09.192904+00 |                               |         3 |            1 |           2 | t          | 
 105 |            0 |          1 |          2 |          3 |                |                  | FINISHED |       0.00 | 2025-11-08 10:48:51.75069+00  |                               |         5 |            0 |           3 | t          | 
 112 |            0 |            |            |          1 |                |                  | FINISHED |       0.00 | 2025-11-09 06:16:55.980909+00 | 2025-11-09 06:17:53.674315+00 |         6 |            0 |           2 | t          | 
 114 |            0 |          1 |          2 |          3 |                |                  | FINISHED |       0.00 | 2025-11-09 09:25:19.585738+00 |                               |         1 |            2 |           3 | t          | 
 117 |            0 |          3 |            |            |                |                  | FINISHED |       0.00 | 2025-11-09 10:38:54.875027+00 | 2025-11-09 10:39:57.567846+00 |         6 |            0 |           2 | t          | 
 115 |            0 |          1 |          2 |          3 |                |                  | FINISHED |       0.00 | 2025-11-09 09:56:18.783901+00 |                               |         2 |            0 |           3 | t          | 
 123 |            0 |          3 |          2 |          1 |                |                  | FINISHED |       0.00 | 2025-11-09 12:25:08.916817+00 |                               |         1 |            0 |           3 | t          | 
 118 |            0 |          3 |          2 |            |                |                  | FINISHED |       0.00 | 2025-11-09 11:43:50.071874+00 |                               |         1 |            0 |           2 | t          | 
 124 |            0 |          3 |          2 |            |                |                  | FINISHED |       0.00 | 2025-11-09 12:57:44.203027+00 |                               |         1 |            1 |           3 | t          | 
 125 |            0 |          1 |          2 |            |                |                  | FINISHED |       0.00 | 2025-11-09 13:44:16.140283+00 |                               |         1 |            1 |           3 | t          | 
 126 |            0 |          1 |            |          3 |                |                  | FINISHED |       0.00 | 2025-11-09 14:09:51.696762+00 |                               |         1 |            1 |           2 | t          | 
 127 |            0 |          3 |          2 |          1 |                |                  | FINISHED |       0.00 | 2025-11-09 14:28:41.472255+00 |                               |         3 |            0 |           3 | t          | 
 128 |            0 |            |          2 |          3 |                |                  | ACTIVE   |       0.00 | 2025-11-09 14:42:21.449238+00 |                               |         4 |            0 |           3 | t          | 
 129 |            0 |            |            |          1 |                |                  | FINISHED |       0.00 | 2025-11-09 14:56:05.283877+00 | 2025-11-09 14:58:02.27874+00  |         4 |            2 |           3 | t          | 
 130 |            0 |          1 |          2 |          3 |                |                  | FINISHED |       0.00 | 2025-11-09 15:20:36.087215+00 |                               |         1 |            2 |           3 | t          | 
